Id	DateTime	System	Type	Name	Event	AcknowledgedBy	AcknowledgedDate
687519	1/1/2016 7:42:18 PM	RCKACS004	Alarm	Seamount Recovery OZC Tower Discharge ORP Level	Warning: Seamount Recovery OZC Tower Discharge ORP Level alarm restored		
687520	1/1/2016 8:34:38 PM	Seamount	Protein Skimmer Process	Seamount PSK 5	Seamount PSK 5 Ozone Inject Disabled, ORP level is out of range.550		
687521	1/1/2016 9:00:09 PM	Seamount Recirculation	Recirculation Filters Process	Seamount Filter 3/4	Seamount Filter 3/4 Stopping		
687522	1/1/2016 9:00:13 PM	Seamount	Temperature Control Process	Seamount Heat Exchanger 2	Seamount Heat Exchanger 2 Stopping		
687523	1/1/2016 9:01:39 PM	Seamount Recirculation	Recirculation Filters Process	Seamount Filter 3/4	Seamount Filter 3/4 Starting Backwash		
687524	1/1/2016 9:01:49 PM	Seamount	Ozone Contact Tower Process	Seamount OZC Tower 2	Seamount OZC Tower 2 Stopping		
687525	1/1/2016 9:01:51 PM	Seamount	Ozone Contact Tower Process	Seamount OZC Tower 1	Seamount OZC Tower 1 Stopping		
687526	1/1/2016 9:01:53 PM	Seamount	Temperature Control Process	Seamount Heat Exchanger 2	Seamount Heat Exchanger 2 Chilling Enabled		
687527	1/1/2016 9:02:22 PM	Seamount Recirculation	Recirculation Filters Process	Seamount Filter 3/4	Seamount Filter 3/4 run time since last backwash: 119:32		
687528	1/1/2016 9:02:54 PM	Seamount	Ozone Contact Tower Process	Seamount OZC Tower 1	Seamount OZC Tower 1 Enabled		
687529	1/1/2016 9:02:54 PM	Seamount	Ozone Contact Tower Process	Seamount OZC Tower 2	Seamount OZC Tower 2 Enabled		
687530	1/1/2016 9:10:54 PM	Seamount	Protein Skimmer Process	Seamount Recovery PSK	Seamount Recovery PSK Starting		
687531	1/1/2016 9:11:44 PM	Seamount Recirculation	Recirculation Filters Process	Seamount Filter 3/4	Warning: Aborting Seamount Recirculation Filter Backwash, Dirty Basin Full.		
687532	1/1/2016 9:12:45 PM	Seamount Recirculation	Recirculation Filters Process	Seamount Filter 3/4	Seamount Filter 3/4 Stopping		
687533	1/1/2016 9:12:46 PM	Seamount	Makeup Process	Seamount Makeup System	Seamount Makeup System Starting		
687534	1/1/2016 9:12:52 PM	Seamount Recirculation	Recirculation Filters Process	Seamount Filter 3/4	Seamount Filter 3/4 Starting		
687535	1/1/2016 9:12:53 PM	Seamount	Temperature Control Process	Seamount Heat Exchanger 2	Seamount Heat Exchanger 2 Chilling Starting		
687536	1/1/2016 9:12:57 PM	Seamount	Ozone Contact Tower Process	Seamount OZC Tower 1	Seamount OZC Tower 1 Starting		
687537	1/1/2016 9:14:14 PM	Seamount	Ozone Contact Tower Process	Seamount OZC Tower 1	Seamount OZC Tower 1 Operating		
687538	1/1/2016 9:16:20 PM	Seamount	Protein Skimmer Process	Seamount Recovery PSK	Seamount Recovery PSK Ozone Inject Disabled, ORP level is out of range.705		
687539	1/1/2016 9:16:47 PM	Seamount Recovery	Recovery Filter Process	Seamount Recovery Filter	Seamount Recovery Filter Starting Recirculate		
687540	1/1/2016 9:18:01 PM	Seamount	Ozone Contact Tower Process	Seamount OZC Tower 2	Seamount OZC Tower 2 Starting		
687541	1/1/2016 9:18:40 PM	Seamount	Ozone Contact Tower Process	Seamount Recovery OZC Tower	Seamount Recovery OZC Tower Starting		
687542	1/1/2016 9:19:30 PM	Seamount	Ozone Contact Tower Process	Seamount OZC Tower 2	Seamount OZC Tower 2 Operating		
687543	1/1/2016 9:20:07 PM	Seamount	Ozone Contact Tower Process	Seamount Recovery OZC Tower	Seamount Recovery OZC Tower Operating		
687544	1/1/2016 9:34:55 PM	Seamount	Protein Skimmer Process	Seamount PSK 1	Seamount PSK 1 Ozone Inject Disabled, ORP level is out of range.551		
687545	1/1/2016 10:10:00 PM	Seamount	Ozone Contact Tower Process	Seamount OZC Tower 2	Exhibit Return ORP level above high Limit.		
687546	1/1/2016 10:10:10 PM	Seamount	Ozone Contact Tower Process	Seamount OZC Tower 1	Exhibit Return ORP level above high Limit.		
687547	1/1/2016 10:10:40 PM	Seamount	Protein Skimmer Process	Seamount Recovery PSK	Seamount Recovery PSK Ozone Inject Disabled, ORP level is out of range.704		
687548	1/1/2016 10:34:38 PM	Seamount	Makeup Process	Seamount Makeup System	Seamount Makeup System Stopping		
687549	1/2/2016 1:34:11 AM	RCKACS004	Alarm	Seamount Recovery OZC Tower Discharge ORP Level	Warning: Seamount Recovery OZC Tower Discharge ORP Level below low limit 343		
687550	1/2/2016 3:07:04 AM	RCKACS004	Alarm	Seamount Recovery OZC Tower Discharge ORP Level	Warning: Seamount Recovery OZC Tower Discharge ORP Level alarm restored		
687551	1/2/2016 4:44:10 AM	Seamount	Protein Skimmer Process	Seamount PSK 5	Seamount PSK 5 Ozone Inject Disabled, ORP level is out of range.551		
687552	1/2/2016 4:47:14 AM	Seamount	Protein Skimmer Process	Seamount Recovery PSK	Seamount Recovery PSK Stopping		
687553	1/2/2016 4:48:00 AM	Seamount	Protein Skimmer Process	Seamount Recovery PSK	Seamount Recovery PSK Enabled		
687554	1/2/2016 5:41:41 AM	Seamount Recovery	Recovery Filter Process	Seamount Recovery Filter	Seamount Recovery Filter Stopping		
687555	1/2/2016 5:41:54 AM	Seamount	Ozone Contact Tower Process	Seamount Recovery OZC Tower	Seamount Recovery OZC Tower Stopping		
687556	1/2/2016 5:43:32 AM	Seamount Recovery	Recovery Filter Process	Seamount Recovery Filter	Seamount Recovery Filter Enabled		
687557	1/2/2016 5:43:36 AM	Seamount	Ozone Contact Tower Process	Seamount Recovery OZC Tower	Seamount Recovery OZC Tower Enabled		
687558	1/2/2016 5:45:40 AM	RCKACS004	Alarm	Seamount Recovery OZC Tower Discharge ORP Level	Warning: Seamount Recovery OZC Tower Discharge ORP Level below low limit 431		
687559	1/2/2016 6:36:40 AM	Seamount	Protein Skimmer Process	Seamount PSK 1	Seamount PSK 1 Ozone Inject Disabled, ORP level is out of range.551		
687560	1/2/2016 4:22:00 PM	Seamount	Protein Skimmer Process	Seamount PSK 5	Seamount PSK 5 Ozone Inject Disabled, ORP level is out of range.551		
687561	1/2/2016 8:35:17 PM	Seamount	Protein Skimmer Process	Seamount PSK 5	Seamount PSK 5 Ozone Inject Disabled, ORP level is out of range.551		
687562	1/2/2016 8:39:18 PM	RCKACS004	Alarm	Seamount Recovery OZC Tower Discharge ORP Level	Warning: Seamount Recovery OZC Tower Discharge ORP Level alarm restored		
687563	1/2/2016 8:43:52 PM	RCKACS004	Alarm	Seamount Recovery OZC Tower Discharge ORP Level	Warning: Seamount Recovery OZC Tower Discharge ORP Level below low limit 417		
687564	1/2/2016 8:54:33 PM	RCKACS004	Alarm	Seamount Recovery OZC Tower Discharge ORP Level	Warning: Seamount Recovery OZC Tower Discharge ORP Level alarm restored		
687565	1/2/2016 9:00:16 PM	Seamount Recirculation	Recirculation Filters Process	Seamount Filter 1/2	Seamount Filter 1/2 Stopping		
687566	1/2/2016 9:01:43 PM	Seamount Recirculation	Recirculation Filters Process	Seamount Filter 1/2	Seamount Filter 1/2 Starting Backwash		
687567	1/2/2016 9:01:46 PM	Seamount	Ozone Contact Tower Process	Seamount OZC Tower 1	Seamount OZC Tower 1 Stopping		
687568	1/2/2016 9:01:50 PM	Seamount	Ozone Contact Tower Process	Seamount OZC Tower 2	Seamount OZC Tower 2 Stopping		
687569	1/2/2016 9:02:28 PM	Seamount Recirculation	Recirculation Filters Process	Seamount Filter 1/2	Seamount Filter 1/2 run time since last backwash: 119:42		
687570	1/2/2016 9:02:49 PM	Seamount	Ozone Contact Tower Process	Seamount OZC Tower 1	Seamount OZC Tower 1 Enabled		
687571	1/2/2016 9:02:54 PM	Seamount	Ozone Contact Tower Process	Seamount OZC Tower 2	Seamount OZC Tower 2 Enabled		
687572	1/2/2016 9:10:04 PM	Seamount	Protein Skimmer Process	Seamount Recovery PSK	Seamount Recovery PSK Starting		
687573	1/2/2016 9:10:42 PM	Seamount Recirculation	Recirculation Filters Process	Seamount Filter 1/2	Warning: Aborting Seamount Recirculation Filter Backwash, Dirty Basin Full.		
687574	1/2/2016 9:11:41 PM	Seamount Recirculation	Recirculation Filters Process	Seamount Filter 1/2	Seamount Filter 1/2 Stopping		
687575	1/2/2016 9:11:42 PM	Seamount	Makeup Process	Seamount Makeup System	Seamount Makeup System Starting		
687576	1/2/2016 9:11:48 PM	Seamount Recirculation	Recirculation Filters Process	Seamount Filter 1/2	Seamount Filter 1/2 Starting		
687577	1/2/2016 9:11:52 PM	Seamount	Ozone Contact Tower Process	Seamount OZC Tower 1	Seamount OZC Tower 1 Starting		
687578	1/2/2016 9:13:06 PM	Seamount	Ozone Contact Tower Process	Seamount OZC Tower 1	Seamount OZC Tower 1 Operating		
687579	1/2/2016 9:15:43 PM	Seamount Recovery	Recovery Filter Process	Seamount Recovery Filter	Seamount Recovery Filter Starting Recirculate		
687580	1/2/2016 9:15:43 PM	Seamount	Protein Skimmer Process	Seamount Recovery PSK	Seamount Recovery PSK Ozone Inject Disabled, ORP level is out of range.712		
687581	1/2/2016 9:16:55 PM	Seamount	Ozone Contact Tower Process	Seamount OZC Tower 2	Seamount OZC Tower 2 Starting		
687582	1/2/2016 9:17:37 PM	Seamount	Ozone Contact Tower Process	Seamount Recovery OZC Tower	Seamount Recovery OZC Tower Starting		
687583	1/2/2016 9:18:27 PM	Seamount	Ozone Contact Tower Process	Seamount OZC Tower 2	Seamount OZC Tower 2 Operating		
687584	1/2/2016 9:19:10 PM	Seamount	Ozone Contact Tower Process	Seamount Recovery OZC Tower	Seamount Recovery OZC Tower Operating		
687585	1/2/2016 9:31:47 PM	Seamount	Protein Skimmer Process	Seamount PSK 5	Seamount PSK 5 Ozone Inject Disabled, ORP level is out of range.551		
687586	1/2/2016 9:39:04 PM	Seamount	Protein Skimmer Process	Seamount PSK 1	Seamount PSK 1 Ozone Inject Disabled, ORP level is out of range.551		
687587	1/2/2016 10:08:28 PM	Seamount	Protein Skimmer Process	Seamount Recovery PSK	Seamount Recovery PSK Ozone Inject Disabled, ORP level is out of range.703		
687588	1/2/2016 10:11:15 PM	Seamount	Ozone Contact Tower Process	Seamount OZC Tower 2	Exhibit Return ORP level above high Limit.		
687589	1/2/2016 10:11:19 PM	Seamount	Ozone Contact Tower Process	Seamount OZC Tower 1	Exhibit Return ORP level above high Limit.		
687590	1/2/2016 10:36:25 PM	Seamount	Makeup Process	Seamount Makeup System	Seamount Makeup System Stopping		
687591	1/3/2016 3:26:42 AM	Seamount	Protein Skimmer Process	Seamount Recovery PSK	Seamount Recovery PSK Ozone Inject Disabled, ORP level is out of range.704		
687592	1/3/2016 3:56:12 AM	Seamount	Protein Skimmer Process	Seamount PSK 5	Seamount PSK 5 Ozone Inject Disabled, ORP level is out of range.551		
687593	1/3/2016 4:25:26 AM	Seamount	Protein Skimmer Process	Seamount Recovery PSK	Seamount Recovery PSK Ozone Inject Disabled, ORP level is out of range.702		
687594	1/3/2016 4:50:09 AM	Seamount	Protein Skimmer Process	Seamount Recovery PSK	Seamount Recovery PSK Stopping		
687595	1/3/2016 4:50:54 AM	Seamount	Protein Skimmer Process	Seamount Recovery PSK	Seamount Recovery PSK Enabled		
687596	1/3/2016 5:33:33 AM	Seamount	Protein Skimmer Process	Seamount PSK 1	Seamount PSK 1 Ozone Inject Disabled, ORP level is out of range.551		
687597	1/3/2016 5:43:34 AM	Seamount Recovery	Recovery Filter Process	Seamount Recovery Filter	Seamount Recovery Filter Stopping		
687598	1/3/2016 5:43:50 AM	Seamount	Ozone Contact Tower Process	Seamount Recovery OZC Tower	Seamount Recovery OZC Tower Stopping		
687599	1/3/2016 5:45:33 AM	Seamount	Ozone Contact Tower Process	Seamount Recovery OZC Tower	Seamount Recovery OZC Tower Enabled		
687600	1/3/2016 5:45:36 AM	Seamount Recovery	Recovery Filter Process	Seamount Recovery Filter	Seamount Recovery Filter Enabled		
687601	1/3/2016 9:37:49 AM	Seamount	Ozone Contact Tower Process	Seamount OZC Tower 1	Seamount OZC Tower 1, ORP Level out of safety range.		
687602	1/3/2016 10:06:05 AM	RCKACS004	Alarm	Seamount Recovery OZC Tower Discharge ORP Level	Warning: Seamount Recovery OZC Tower Discharge ORP Level below low limit 483		
687603	1/3/2016 10:18:09 AM	RCKACS004	Alarm	Seamount Recovery OZC Tower Discharge ORP Level	Warning: Seamount Recovery OZC Tower Discharge ORP Level alarm restored		
687604	1/3/2016 10:57:55 AM	Seamount	Ozone Contact Tower Process	Seamount OZC Tower 1	Seamount OZC Tower 1, ORP Level out of safety range.		
687605	1/3/2016 11:18:06 AM	RCKACS004	Alarm	Seamount Recovery OZC Tower Discharge ORP Level	Warning: Seamount Recovery OZC Tower Discharge ORP Level below low limit 483		
687606	1/3/2016 11:49:00 AM	RCKACS004	Alarm	Seamount Recovery OZC Tower Discharge ORP Level	Warning: Seamount Recovery OZC Tower Discharge ORP Level alarm restored		
687607	1/3/2016 12:18:48 PM	RCKACS004	Alarm	Seamount Recovery OZC Tower Discharge ORP Level	Warning: Seamount Recovery OZC Tower Discharge ORP Level below low limit 481		
687608	1/3/2016 12:20:02 PM	Seamount	Ozone Contact Tower Process	Seamount OZC Tower 1	Seamount OZC Tower 1, ORP Level out of safety range.		
687609	1/3/2016 12:40:05 PM	RCKACS004	Alarm	Seamount Recovery OZC Tower Discharge ORP Level	Warning: Seamount Recovery OZC Tower Discharge ORP Level alarm restored		
687610	1/3/2016 12:54:22 PM	RCKACS004	Alarm	Seamount Recovery OZC Tower Discharge ORP Level	Warning: Seamount Recovery OZC Tower Discharge ORP Level below low limit 472		
687611	1/3/2016 4:34:27 PM	RCKACS004	Alarm	Seamount Recovery OZC Tower Discharge ORP Level	Warning: Seamount Recovery OZC Tower Discharge ORP Level alarm restored		
687612	1/3/2016 4:38:10 PM	RCKACS004	Alarm	Seamount Recovery OZC Tower Discharge ORP Level	Warning: Seamount Recovery OZC Tower Discharge ORP Level below low limit 306		
687613	1/3/2016 4:44:51 PM	RCKACS004	Alarm	Seamount Recovery OZC Tower Discharge ORP Level	Warning: Seamount Recovery OZC Tower Discharge ORP Level alarm restored		
687614	1/3/2016 5:06:21 PM	Seamount	Protein Skimmer Process	Seamount PSK 5	Seamount PSK 5 Ozone Inject Disabled, ORP level is out of range.551		
687615	1/3/2016 9:00:13 PM	Seamount Recirculation	Recirculation Filters Process	Seamount Filter 7/8	Seamount Filter 7/8 Stopping		
687616	1/3/2016 9:00:58 PM	Seamount Recirculation	Recirculation Filters Process	Seamount Filter 7/8	Seamount Filter 7/8 Starting Backwash		
687617	1/3/2016 9:01:01 PM	Seamount	Ozone Contact Tower Process	Seamount OZC Tower 2	Seamount OZC Tower 2 Stopping		
687618	1/3/2016 9:01:09 PM	Seamount	Ozone Contact Tower Process	Seamount OZC Tower 1	Seamount OZC Tower 1 Stopping		
687619	1/3/2016 9:01:54 PM	Seamount Recirculation	Recirculation Filters Process	Seamount Filter 7/8	Seamount Filter 7/8 run time since last backwash: 119:44		
687620	1/3/2016 9:02:04 PM	Seamount	Ozone Contact Tower Process	Seamount OZC Tower 2	Seamount OZC Tower 2 Enabled		
687621	1/3/2016 9:02:14 PM	Seamount	Ozone Contact Tower Process	Seamount OZC Tower 1	Seamount OZC Tower 1 Enabled		
687622	1/3/2016 9:11:28 PM	Seamount	Protein Skimmer Process	Seamount Recovery PSK	Seamount Recovery PSK Starting		
687623	1/3/2016 9:12:03 PM	Seamount Recirculation	Recirculation Filters Process	Seamount Filter 7/8	Warning: Aborting Seamount Recirculation Filter Backwash, Dirty Basin Full.		
687624	1/3/2016 9:13:03 PM	Seamount Recirculation	Recirculation Filters Process	Seamount Filter 7/8	Seamount Filter 7/8 Stopping		
687625	1/3/2016 9:13:04 PM	Seamount	Makeup Process	Seamount Makeup System	Seamount Makeup System Starting		
687626	1/3/2016 9:13:10 PM	Seamount Recirculation	Recirculation Filters Process	Seamount Filter 7/8	Seamount Filter 7/8 Starting		
687627	1/3/2016 9:13:14 PM	Seamount	Ozone Contact Tower Process	Seamount OZC Tower 1	Seamount OZC Tower 1 Starting		
687628	1/3/2016 9:14:24 PM	Seamount	Ozone Contact Tower Process	Seamount OZC Tower 1	Seamount OZC Tower 1 Operating		
687629	1/3/2016 9:17:06 PM	Seamount Recovery	Recovery Filter Process	Seamount Recovery Filter	Seamount Recovery Filter Starting Recirculate		
687630	1/3/2016 9:18:17 PM	Seamount	Ozone Contact Tower Process	Seamount OZC Tower 2	Seamount OZC Tower 2 Starting		
687631	1/3/2016 9:18:50 PM	Seamount	Protein Skimmer Process	Seamount Recovery PSK	Seamount Recovery PSK Ozone Inject Disabled, ORP level is out of range.702		
687632	1/3/2016 9:19:00 PM	Seamount	Ozone Contact Tower Process	Seamount Recovery OZC Tower	Seamount Recovery OZC Tower Starting		
687633	1/3/2016 9:19:56 PM	Seamount	Ozone Contact Tower Process	Seamount OZC Tower 2	Seamount OZC Tower 2 Operating		
687634	1/3/2016 9:20:37 PM	Seamount	Ozone Contact Tower Process	Seamount Recovery OZC Tower	Seamount Recovery OZC Tower Operating		
687635	1/3/2016 9:24:44 PM	Seamount	Protein Skimmer Process	Seamount PSK 5	Seamount PSK 5 Ozone Inject Disabled, ORP level is out of range.551		
687636	1/3/2016 9:29:56 PM	Seamount	Protein Skimmer Process	Seamount PSK 2	Seamount PSK 2 Ozone Inject Disabled, ORP level is out of range.551		
687637	1/3/2016 9:40:13 PM	Seamount	Protein Skimmer Process	Seamount PSK 1	Seamount PSK 1 Ozone Inject Disabled, ORP level is out of range.551		
687638	1/3/2016 10:08:03 PM	Seamount	Protein Skimmer Process	Seamount Recovery PSK	Seamount Recovery PSK Ozone Inject Disabled, ORP level is out of range.702		
687639	1/3/2016 10:28:25 PM	Seamount	Ozone Contact Tower Process	Seamount OZC Tower 2	Exhibit Return ORP level above high Limit.		
687640	1/3/2016 10:28:38 PM	Seamount	Ozone Contact Tower Process	Seamount OZC Tower 1	Exhibit Return ORP level above high Limit.		
687641	1/3/2016 10:46:09 PM	Seamount	Makeup Process	Seamount Makeup System	Seamount Makeup System Stopping		
687642	1/4/2016 3:58:14 AM	Seamount	Protein Skimmer Process	Seamount Recovery PSK	Seamount Recovery PSK Ozone Inject Disabled, ORP level is out of range.703		
687643	1/4/2016 4:14:33 AM	Seamount	Protein Skimmer Process	Seamount PSK 5	Seamount PSK 5 Ozone Inject Disabled, ORP level is out of range.551		
687644	1/4/2016 4:51:48 AM	Seamount	Protein Skimmer Process	Seamount Recovery PSK	Seamount Recovery PSK Ozone Inject Disabled, ORP level is out of range.702		
687645	1/4/2016 4:59:28 AM	Seamount	Protein Skimmer Process	Seamount Recovery PSK	Seamount Recovery PSK Stopping		
687646	1/4/2016 5:00:17 AM	Seamount	Protein Skimmer Process	Seamount Recovery PSK	Seamount Recovery PSK Enabled		
687647	1/4/2016 5:27:24 AM	Seamount	Protein Skimmer Process	Seamount PSK 1	Seamount PSK 1 Ozone Inject Disabled, ORP level is out of range.551		
687648	1/4/2016 5:54:48 AM	Seamount Recovery	Recovery Filter Process	Seamount Recovery Filter	Seamount Recovery Filter Stopping		
687649	1/4/2016 5:55:01 AM	Seamount	Ozone Contact Tower Process	Seamount Recovery OZC Tower	Seamount Recovery OZC Tower Stopping		
687650	1/4/2016 5:56:50 AM	Seamount	Ozone Contact Tower Process	Seamount Recovery OZC Tower	Seamount Recovery OZC Tower Enabled		
687651	1/4/2016 5:57:13 AM	Seamount Recovery	Recovery Filter Process	Seamount Recovery Filter	Seamount Recovery Filter Enabled		
687652	1/4/2016 7:54:12 AM	Seamount	Makeup Process	Seamount Makeup System	Seamount Makeup System Priming Vacuum		
687653	1/4/2016 7:56:00 AM	Seamount	Makeup Process	Seamount Makeup System	Seamount Makeup System Vacuuming Seamount		
687654	1/4/2016 7:56:02 AM	Seamount Recovery	Recovery Filter Process	Seamount Recovery Filter	Seamount Recovery Filter Starting Vacuum		
687655	1/4/2016 7:58:17 AM	Seamount Recovery	Recovery Filter Process	Seamount Recovery Filter	Seamount Recovery Filter Vacuuming		
687656	1/4/2016 8:39:30 AM	Seamount	Makeup Process	Seamount Makeup System	Seamount Makeup System Stopping		
687657	1/4/2016 8:39:33 AM	Seamount Recovery	Recovery Filter Process	Seamount Recovery Filter	Seamount Recovery Filter Stopping		
687658	1/4/2016 8:41:07 AM	Seamount	Ozone Contact Tower Process	Seamount OZC Tower 1	Seamount OZC Tower 1, ORP Level out of safety range.		
687659	1/4/2016 8:41:58 AM	Seamount Recovery	Recovery Filter Process	Seamount Recovery Filter	Seamount Recovery Filter Enabled		
687660	1/4/2016 9:47:14 AM	Seamount	Ozone Contact Tower Process	Seamount OZC Tower 1	Seamount OZC Tower 1, ORP Level out of safety range.		
687661	1/4/2016 10:47:32 AM	Seamount	Ozone Contact Tower Process	Seamount OZC Tower 1	Seamount OZC Tower 1, ORP Level out of safety range.		
687662	1/4/2016 11:53:46 AM	Seamount	Ozone Contact Tower Process	Seamount OZC Tower 1	Seamount OZC Tower 1, ORP Level out of safety range.		
687663	1/4/2016 4:21:26 PM	Seamount	Ozone Contact Tower Process	Seamount OZC Tower 1	Exhibit Return ORP level above high Limit.		
687664	1/4/2016 4:21:31 PM	Seamount	Protein Skimmer Process	Seamount PSK 5	Exhibit Return ORP level is above high limit		
687665	1/4/2016 4:22:53 PM	Seamount	Ozone Contact Tower Process	Seamount OZC Tower 1	Exhibit Return ORP level above high Limit.		
687666	1/4/2016 4:23:26 PM	RCKACS004	Alarm	Seamount Exhibit Return ORP 1 Level	Warning: Seamount Exhibit Return ORP 1 Level below low limit 84		
687667	1/4/2016 4:24:41 PM	Seamount	Ozone Contact Tower Process	Seamount OZC Tower 1	Exhibit Return ORP level above high Limit.		
687668	1/4/2016 4:28:04 PM	Seamount	Protein Skimmer Process	Seamount PSK 5	Seamount PSK 5 Ozone Inject Disabled, ORP level is out of range.551		
687669	1/4/2016 4:32:53 PM	Seamount	Ozone Contact Tower Process	Seamount OZC Tower 1	Exhibit Return ORP level above high Limit.		
687670	1/4/2016 4:33:01 PM	Seamount	Protein Skimmer Process	Seamount PSK 1	Exhibit Return ORP level is above high limit		
687671	1/4/2016 4:33:54 PM	RCKACS004	Alarm	Seamount Exhibit Return ORP 2 Level	Warning: Seamount Exhibit Return ORP 2 Level below low limit 260		
687672	1/4/2016 4:42:19 PM	RCKACS004	Alarm	Seamount Exhibit Return ORP 1 Level	Warning: Seamount Exhibit Return ORP 1 Level alarm restored		
687673	1/4/2016 4:51:00 PM	RCKACS004	Alarm	Seamount Exhibit Return ORP 2 Level	Warning: Seamount Exhibit Return ORP 2 Level alarm restored		
687674	1/4/2016 5:52:45 PM	Seamount Recovery	Recovery Filter Process	Seamount Recovery Filter	Seamount Recovery Filter Stopping		
687675	1/4/2016 5:53:03 PM	Seamount Recovery	Recovery Filter Process	Seamount Recovery Filter	Seamount Recovery Filter Starting Backwash		
687676	1/4/2016 6:26:43 PM	Seamount Recovery	Recovery Filter Process	Seamount Recovery Filter	Seamount Recovery Filter run time since last backwash: 25:23		
687677	1/4/2016 7:10:27 PM	Seamount Recovery	Recovery Filter Process	Seamount Recovery Filter	Seamount Recovery Filter Stopping		
687678	1/4/2016 7:10:44 PM	Seamount Recovery	Recovery Filter Process	Seamount Recovery Filter	Seamount Recovery Filter Enabled		
